id,account_prefix,analytic_distribution,company_id/id,product_id/id,vehicle_id/id
marin.analytic_distribution_model_1194,501.01.00,"{""1097"": 100.0}",marin.company_lmmr,marin.product_product_1424,
marin.analytic_distribution_model_1195,401.04.00,"{""1098"": 100.0}",marin.company_lmmr,marin.product_product_1430,
marin.analytic_distribution_model_1196,501.01.00,"{""1098"": 100.0}",marin.company_lmmr,marin.product_product_1430,
marin.analytic_distribution_model_1197,401.04.00,"{""1099"": 100.0}",marin.company_lmmr,marin.product_product_1438,
marin.analytic_distribution_model_1198,501.01.00,"{""1099"": 100.0}",marin.company_lmmr,marin.product_product_1438,
marin.analytic_distribution_model_1199,401.04.00,"{""1100"": 100.0}",marin.company_lmmr,marin.product_product_1439,
marin.analytic_distribution_model_1200,501.01.00,"{""1100"": 100.0}",marin.company_lmmr,marin.product_product_1439,
marin.analytic_distribution_model_1201,401.04.00,"{""1101"": 100.0}",marin.company_lmmr,marin.product_product_1440,
marin.analytic_distribution_model_1202,501.01.00,"{""1101"": 100.0}",marin.company_lmmr,marin.product_product_1440,
marin.analytic_distribution_model_1203,401.04.00,"{""1102"": 100.0}",marin.company_lmmr,marin.product_product_1442,
marin.analytic_distribution_model_1204,501.01.00,"{""1102"": 100.0}",marin.company_lmmr,marin.product_product_1442,
marin.analytic_distribution_model_1205,401.04.00,"{""1103"": 100.0}",marin.company_lmmr,marin.product_product_1443,
marin.analytic_distribution_model_1206,501.01.00,"{""1103"": 100.0}",marin.company_lmmr,marin.product_product_1443,
marin.analytic_distribution_model_1207,401.04.00,"{""1104"": 100.0}",marin.company_lmmr,marin.product_product_1445,
marin.analytic_distribution_model_1208,501.01.00,"{""1104"": 100.0}",marin.company_lmmr,marin.product_product_1445,
marin.analytic_distribution_model_1209,401.04.00,"{""1105"": 100.0}",marin.company_lmmr,marin.product_product_1446,
marin.analytic_distribution_model_1210,501.01.00,"{""1105"": 100.0}",marin.company_lmmr,marin.product_product_1446,
marin.analytic_distribution_model_1211,401.04.00,"{""1106"": 100.0}",marin.company_lmmr,marin.product_product_1447,
marin.analytic_distribution_model_1212,501.01.00,"{""1106"": 100.0}",marin.company_lmmr,marin.product_product_1447,
marin.analytic_distribution_model_1213,401.04.00,"{""1107"": 100.0}",marin.company_lmmr,marin.product_product_1448,
marin.analytic_distribution_model_1214,501.01.00,"{""1107"": 100.0}",marin.company_lmmr,marin.product_product_1448,
marin.analytic_distribution_model_1215,401.04.00,"{""1108"": 100.0}",marin.company_lmmr,marin.product_product_1449,
marin.analytic_distribution_model_1216,501.01.00,"{""1108"": 100.0}",marin.company_lmmr,marin.product_product_1449,
marin.analytic_distribution_model_1217,401.04.00,"{""1109"": 100.0}",marin.company_lmmr,marin.product_product_1450,
marin.analytic_distribution_model_1218,501.01.00,"{""1109"": 100.0}",marin.company_lmmr,marin.product_product_1450,
