id,tax_id/id,account_id/id,tag_ids/id
marin.tax_repartition_line_5246,marin.tax_1062_vat_4_0_retention_freights_lmmg,,
marin.tax_repartition_line_5247,marin.tax_1062_vat_4_0_retention_freights_lmmg,,
marin.tax_repartition_line_5248,marin.tax_1062_vat_4_0_retention_freights_lmmg,,
marin.tax_repartition_line_5249,marin.tax_1063_ish_4_0_602_glmm,,
marin.tax_repartition_line_5250,marin.tax_1063_ish_4_0_602_glmm,marin.account_602_49_001_glmm,
marin.tax_repartition_line_5251,marin.tax_1063_ish_4_0_602_glmm,,
marin.tax_repartition_line_5252,marin.tax_1063_ish_4_0_602_glmm,marin.account_602_49_001_glmm,
marin.tax_repartition_line_5253,marin.tax_1064_vat_0_0_glmm,,l10n_mx.l10n_mx_out_diot_0
marin.tax_repartition_line_5254,marin.tax_1064_vat_0_0_glmm,marin.account_118_01_001_glmm,
marin.tax_repartition_line_5255,marin.tax_1064_vat_0_0_glmm,,
marin.tax_repartition_line_5256,marin.tax_1064_vat_0_0_glmm,marin.account_118_01_001_glmm,l10n_mx.l10n_mx_out_diot_refunds
marin.tax_repartition_line_5257,marin.tax_1065_vat_0_0_glmm,,
marin.tax_repartition_line_5258,marin.tax_1065_vat_0_0_glmm,marin.account_208_01_001_glmm,
marin.tax_repartition_line_5259,marin.tax_1065_vat_0_0_glmm,,
marin.tax_repartition_line_5260,marin.tax_1065_vat_0_0_glmm,marin.account_208_01_001_glmm,
marin.tax_repartition_line_5261,marin.tax_1066_vat_16_0_glmm,,l10n_mx.l10n_mx_out_diot_16
marin.tax_repartition_line_5262,marin.tax_1066_vat_16_0_glmm,marin.account_118_01_001_glmm,
marin.tax_repartition_line_5263,marin.tax_1066_vat_16_0_glmm,,
marin.tax_repartition_line_5264,marin.tax_1066_vat_16_0_glmm,marin.account_118_01_001_glmm,l10n_mx.l10n_mx_out_diot_refunds
marin.tax_repartition_line_5265,marin.tax_1067_vat_16_0_glmm,,
marin.tax_repartition_line_5266,marin.tax_1067_vat_16_0_glmm,marin.account_208_01_001_glmm,
marin.tax_repartition_line_5267,marin.tax_1067_vat_16_0_glmm,,
marin.tax_repartition_line_5268,marin.tax_1067_vat_16_0_glmm,marin.account_208_01_001_glmm,
marin.tax_repartition_line_5269,marin.tax_1068_vat_16_0_non_deductible_glmm,,
marin.tax_repartition_line_5270,marin.tax_1068_vat_16_0_non_deductible_glmm,marin.account_602_83_007_glmm,
marin.tax_repartition_line_5271,marin.tax_1068_vat_16_0_non_deductible_glmm,,
marin.tax_repartition_line_5272,marin.tax_1068_vat_16_0_non_deductible_glmm,marin.account_602_83_007_glmm,
marin.tax_repartition_line_5273,marin.tax_1069_vat_exempt_glmm,,l10n_mx.l10n_mx_out_diot_exento
marin.tax_repartition_line_5274,marin.tax_1069_vat_exempt_glmm,marin.account_118_01_001_glmm,
marin.tax_repartition_line_5275,marin.tax_1069_vat_exempt_glmm,,l10n_mx.l10n_mx_in_diot_exento
marin.tax_repartition_line_5276,marin.tax_1069_vat_exempt_glmm,marin.account_118_01_001_glmm,
marin.tax_repartition_line_5277,marin.tax_1070_vat_exempt_glmm,,
marin.tax_repartition_line_5278,marin.tax_1070_vat_exempt_glmm,marin.account_208_01_001_glmm,
marin.tax_repartition_line_5279,marin.tax_1070_vat_exempt_glmm,,
marin.tax_repartition_line_5280,marin.tax_1070_vat_exempt_glmm,marin.account_208_01_001_glmm,
