id,company_id/id,warehouse_id/id,default_location_src_id/id,default_location_dest_id/id,name,code,sequence_code,barcode,reservation_method,active,create_backorder,use_existing_lots,use_create_lots,sequence,color
picking_type_1151,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1074,marin_data.stock_location_1074,Internal Transfers HMT,Internal Transfer,INT,HMT-INTERNAL,At Confirmation,,Never,True,,350,5
picking_type_1152,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1075,marin_data.stock_location_1077,Cross Dock,Internal Transfer,XD,HMTXD,At Confirmation,,Ask,True,,1800,0
picking_type_1153,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1074,marin_data.stock_location_1079,Pick Components,Internal Transfer,PC,HMT-PC,At Confirmation,,Ask,True,,800,0
picking_type_1154,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1080,marin_data.stock_location_1074,Store Finished Product,Internal Transfer,SFP,HMT-SFP,At Confirmation,,Ask,True,True,1000,0
picking_type_1155,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1074,marin_data.stock_location_1074,Manufacturing,Manufacturing,MO,HMT-MANUF,At Confirmation,,Always,True,True,600,0
picking_type_1156,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1074,stock.stock_location_customers,PoS Orders,Delivery,POS,HMT-POS,At Confirmation,,Always,True,,200,10
picking_type_5001,marin_data.company_lmmg,marin_data.warehouse_4,marin_data.stock_location_51,marin_data.stock_location_5001,Intercompany transfers LMMG-LMMR,Internal Transfer,INTCP,,At Confirmation,True,Never,True,,1500,0
picking_type_5002,marin_data.company_lmmg,marin_data.warehouse_4,marin_data.stock_location_51,marin_data.stock_location_5002,Intercompany transfers LMMG-XM,Internal Transfer,INTCP,,At Confirmation,,Never,True,,1500,0
picking_type_5003,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.stock_location_1026,marin_data.stock_location_5003,Intercompany transfers LMMR-LMMG,Internal Transfer,INTCP,,At Confirmation,True,Never,True,,1500,0
picking_type_5004,marin_data.company_lmmr,marin_data.warehouse_2,marin_data.stock_location_1026,marin_data.stock_location_5004,Intercompany transfers LMMR-XM,Internal Transfer,INTCP,,At Confirmation,,Never,True,True,1500,0
picking_type_5005,marin_data.company_society,marin_data.warehouse_7,marin_data.stock_location_90,marin_data.stock_location_5005,Intercompany transfers XM-LMMG,Internal Transfer,INTCP,,At Confirmation,,Never,True,True,1500,0
picking_type_5006,marin_data.company_society,marin_data.warehouse_7,marin_data.stock_location_90,marin_data.stock_location_5006,Intercompany transfers XM-LMMR,Internal Transfer,INTCP,,At Confirmation,,Never,True,True,1500,0
picking_type_5007,marin_data.company_lmmr,marin_data.warehouse_2,stock.stock_location_customers,marin_data.stock_location_25,Returns from customers,Receipt,CRTN,LMMR-CRTN,At Confirmation,True,Always,True,,500,1
picking_type_5008,marin_data.company_lmmg,marin_data.warehouse_4,stock.stock_location_customers,marin_data.stock_location_51,Returns from customers,Receipt,CRTN,LMMG-CRTN,At Confirmation,True,Always,True,,500,1
picking_type_5009,marin_data.company_society,marin_data.warehouse_7,stock.stock_location_customers,marin_data.stock_location_90,Returns from customers,Receipt,CRTN,XM-CRTN,At Confirmation,True,Always,True,,500,1
picking_type_5010,marin_data.company_lmmr,marin_data.warehouse_101,stock.stock_location_customers,marin_data.stock_location_1002,Returns from customers,Receipt,CRTN,SNT-CRTN,At Confirmation,True,Always,True,,500,1
picking_type_5011,marin_data.company_lmmr,marin_data.warehouse_102,stock.stock_location_customers,marin_data.stock_location_1010,Returns from customers,Receipt,CRTN,BAL-CRTN,At Confirmation,True,Always,True,,500,1
picking_type_5012,marin_data.company_lmmr,marin_data.warehouse_103,stock.stock_location_customers,marin_data.stock_location_1018,Returns from customers,Receipt,CRTN,SJN-CRTN,At Confirmation,True,Always,True,,500,1
picking_type_5013,marin_data.company_lmmr,marin_data.warehouse_104,stock.stock_location_customers,marin_data.stock_location_1026,Returns from customers,Receipt,CRTN,CDG-CRTN,At Confirmation,True,Always,True,,500,1
picking_type_5014,marin_data.company_lmmr,marin_data.warehouse_105,stock.stock_location_customers,marin_data.stock_location_1034,Returns from customers,Receipt,CRTN,OBR-CRTN,At Confirmation,True,Always,True,,500,1
picking_type_5015,marin_data.company_lmmr,marin_data.warehouse_106,stock.stock_location_customers,marin_data.stock_location_1042,Returns from customers,Receipt,CRTN,LOM-CRTN,At Confirmation,True,Always,True,,500,1
picking_type_5016,marin_data.company_lmmr,marin_data.warehouse_107,stock.stock_location_customers,marin_data.stock_location_1050,Returns from customers,Receipt,CRTN,MICH-CRTN,At Confirmation,,Always,True,,500,1
picking_type_5017,marin_data.company_lmmr,marin_data.warehouse_108,stock.stock_location_customers,marin_data.stock_location_1058,Returns from customers,Receipt,CRTN,SALT-CRTN,At Confirmation,,Always,True,,500,1
picking_type_5018,marin_data.company_lmmr,marin_data.warehouse_109,stock.stock_location_customers,marin_data.stock_location_1066,Returns from customers,Receipt,CRTN,MOCH-CRTN,At Confirmation,,Always,True,,500,1
picking_type_5019,marin_data.company_lmmr,marin_data.warehouse_110,stock.stock_location_customers,marin_data.stock_location_1074,Returns from customers,Receipt,CRTN,HMT-CRTN,At Confirmation,,Always,True,,500,1
picking_type_5020,marin_data.company_lmmr,marin_data.warehouse_2,marin_data.stock_location_25,stock.stock_location_suppliers,Returns to suppliers,Delivery,SRTN,LMMR-SRTN,At Confirmation,True,Always,True,,550,1
picking_type_5021,marin_data.company_lmmg,marin_data.warehouse_4,marin_data.stock_location_51,stock.stock_location_suppliers,Returns to suppliers,Delivery,SRTN,LMMG-SRTN,At Confirmation,True,Always,True,,550,1
picking_type_5022,marin_data.company_society,marin_data.warehouse_7,marin_data.stock_location_90,stock.stock_location_suppliers,Returns to suppliers,Delivery,SRTN,XM-SRTN,At Confirmation,True,Always,True,,550,1
picking_type_5023,marin_data.company_lmmr,marin_data.warehouse_101,marin_data.stock_location_1002,stock.stock_location_suppliers,Returns to suppliers,Delivery,SRTN,SNT-SRTN,At Confirmation,True,Always,True,,550,1
picking_type_5024,marin_data.company_lmmr,marin_data.warehouse_102,marin_data.stock_location_1010,stock.stock_location_suppliers,Returns to suppliers,Delivery,SRTN,BAL-SRTN,At Confirmation,True,Always,True,,550,1
picking_type_5025,marin_data.company_lmmr,marin_data.warehouse_103,marin_data.stock_location_1018,stock.stock_location_suppliers,Returns to suppliers,Delivery,SRTN,SJN-SRTN,At Confirmation,True,Always,True,,550,1
picking_type_5026,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.stock_location_1026,stock.stock_location_suppliers,Returns to suppliers,Delivery,SRTN,CDG-SRTN,At Confirmation,True,Always,True,,550,1
picking_type_5027,marin_data.company_lmmr,marin_data.warehouse_105,marin_data.stock_location_1034,stock.stock_location_suppliers,Returns to suppliers,Delivery,SRTN,OBR-SRTN,At Confirmation,True,Always,True,,550,1
picking_type_5028,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1042,stock.stock_location_suppliers,Returns to suppliers,Delivery,SRTN,LOM-SRTN,At Confirmation,True,Always,True,,550,1
picking_type_5029,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1050,stock.stock_location_suppliers,Returns to suppliers,Delivery,SRTN,MICH-SRTN,At Confirmation,,Always,True,,550,1
picking_type_5030,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1058,stock.stock_location_suppliers,Returns to suppliers,Delivery,SRTN,SALT-SRTN,At Confirmation,,Always,True,,550,1
picking_type_5031,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1066,stock.stock_location_suppliers,Returns to suppliers,Delivery,SRTN,MOCH-SRTN,At Confirmation,,Always,True,,550,1
picking_type_5032,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1074,stock.stock_location_suppliers,Returns to suppliers,Delivery,SRTN,HMT-SRTN,At Confirmation,,Always,True,,550,1
picking_type_5033,marin_data.company_lmmr,marin_data.warehouse_101,marin_data.stock_location_1002,marin_data.stock_location_5033,Interwarehouse SNT-CDG,Delivery,INTWH,SNT-INTWH-CDG,At Confirmation,True,Never,True,,400,5
picking_type_5034,marin_data.company_lmmr,marin_data.warehouse_102,marin_data.stock_location_1010,marin_data.stock_location_5009,Interwarehouse BAL-SJN,Delivery,INTWH,BAL-INTWH-SJN,At Confirmation,True,Never,True,,400,5
picking_type_5035,marin_data.company_lmmr,marin_data.warehouse_102,marin_data.stock_location_1010,marin_data.stock_location_5007,Interwarehouse BAL-CDG,Delivery,INTWH,BAL-INTWH-CDG,At Confirmation,True,Never,True,,400,5
picking_type_5036,marin_data.company_lmmr,marin_data.warehouse_103,marin_data.stock_location_1018,marin_data.stock_location_5030,Interwarehouse SJN-BAL,Delivery,INTWH,SJN-INTWH-BAL,At Confirmation,True,Never,True,,400,5
